STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
18688,Bailey St/Nicholson St,REGIONAL BUS,146.911424,-36.700154
18689,Alpine Hotel/Anderson St,REGIONAL BUS,146.960433,-36.728352
18690,Falls Creek Coaches/233 Kiewa Valley Hwy,REGIONAL BUS,147.160987,-36.737986
1937,Webster St/Dunlop St,REGIONAL BUS,142.804804,-38.080954
19517,Cambells Bridge Rd/Donald-Stawell Rd ,REGIONAL BUS,142.785570,-36.916096
19521,6006 Donald -Stawell Rd,REGIONAL BUS,142.785563,-36.814146
19523,Park Rd/Donald Stawell Rd,REGIONAL BUS,142.869764,-36.671363
19793,Park Rd/Donald Stawell Rd,REGIONAL BUS,142.869829,-36.671410
19794,6003 Donald Stawell Rd,REGIONAL BUS,142.785642,-36.814130
19795,Greens Creek Rd/Donald -Stawell Rd,REGIONAL BUS,142.785663,-36.916243
19798,Stawell Leisure Centre/Houston St ,REGIONAL BUS,142.779451,-37.051524
19799,Community Health Centre/Patrick St,REGIONAL BUS,142.783732,-37.055802
20816,Sunbury Station/Brook St,REGIONAL BUS,144.728552,-37.579124
20830,Gisborne Station/Early St,REGIONAL BUS,144.598947,-37.459200
20831,Riddells Creek Station/Hamilton St ,REGIONAL BUS,144.679362,-37.464547
20832,Clarkefield Station/Station St ,REGIONAL BUS,144.745759,-37.483424
20847,BP Roadhouse/Homburg Tce,REGIONAL BUS,140.913710,-35.260568
20849,General Store/Mallee Hwy,REGIONAL BUS,141.810266,-35.169859
20850,General Store/Mallee Hwy,REGIONAL BUS,142.023832,-35.135942
20856,Nowa Nowa General Store/Princes Hwy,REGIONAL BUS,148.091596,-37.732313
20863,Genoa Hotel/Alexanders Rd,REGIONAL BUS,149.592003,-37.475060
20884,Maldon Post Office/High St,REGIONAL BUS,144.068003,-36.995972
20889,Morrissey St/Waverley Ave ,REGIONAL BUS,145.132026,-36.371854
20890,Goornong Station/Midland Hwy,REGIONAL BUS,144.505060,-36.615226
20902,Raymond Island Ferry Terminal/Devon Rd,REGIONAL BUS,147.725064,-37.919101
